material,tons,scenario
aluminium,0.0,scenario 1
bitumen,0.0,scenario 1
brick,0.0,scenario 1
furnishing_stone,0.0,scenario 1
glass,0.0,scenario 1
gypsum,0.0,scenario 1
isolation,0.0,scenario 1
plaster,0.0,scenario 1
steel,0.0,scenario 1
aluminium,77100.3838022014,scenario 2
bitumen,4095.5842245387744,scenario 2
brick,158832.18648059643,scenario 2
furnishing_stone,102707.51484127098,scenario 2
glass,767615.5774754577,scenario 2
gypsum,678547.4253287407,scenario 2
isolation,10720.86651783188,scenario 2
plaster,393.1847149089815,scenario 2
steel,251816.51894294308,scenario 2
aluminium,77100.3838022014,scenario 3
bitumen,4095.5842245387744,scenario 3
brick,158832.18648059643,scenario 3
furnishing_stone,102707.51484127098,scenario 3
glass,767615.5774754577,scenario 3
gypsum,678547.4253287407,scenario 3
isolation,10720.86651783188,scenario 3
plaster,393.1847149089815,scenario 3
steel,251816.51894294308,scenario 3
biobased,1085954.6239852891,scenario 4
furnishing_stone,102707.51484127098,scenario 4
glass,767615.5774754577,scenario 4
steel,155372.026545746,scenario 4
timber,1549871.6728146242,scenario 4
modules,728081.9759348988,scenario 5
steel,132102.05893892853,scenario 5
timber,328800.0,scenario 5
modules,728081.9759348988,scenario 6
steel,132102.05893892853,scenario 6
timber,328800.0,scenario 6
