year,emissions_gNOX,emissions_gPM10,emissions_gPM2p5,scenario
2023,0.0,0.0,0.0,s1
2024,40626124.90167994,259497.2991032333,129748.64955161668,s1
2025,136327700.69668227,870917.7524949244,435458.8762474622,s1
2026,259029377.06013763,1654843.48648028,827421.74324014,s1
2027,384260109.6602079,2455021.0017441786,1227510.5008720893,s1
2028,491381810.6582853,3139467.861904498,1569733.930952249,s1
2029,561565278.508113,3587941.716845537,1793970.8584227688,s1
2030,630635770.6451355,4029285.920830344,2014642.960415172,s1
2031,678027748.3138108,4332159.553821409,2166079.776910705,s1
2032,707085870.1111594,4517952.362777901,2258976.1813889504,s1
2033,721317438.2095733,4608948.448749584,2304474.224374792,s1
2034,721317438.2095733,4608948.448749584,2304474.224374792,s1
2023,0.0,0.0,0.0,s2
2024,51385778.39969868,2066028.7637044776,1033014.3818522388,s2
2025,170697053.68098235,6797567.569138051,3398783.784569025,s2
2026,323804506.11089486,12877652.67475614,6438826.33737807,s2
2027,479131874.68225616,19008977.665229414,9504488.832614709,s2
2028,611516103.8144944,24221953.48473466,12110976.74236733,s2
2029,698355446.6953344,27655651.3526027,13827825.67630135,s2
2030,783870326.1608396,31030819.823355354,15515409.911677675,s2
2031,842335923.3442194,33329834.721706085,16664917.360853042,s2
2032,877725107.4994988,34701395.846540175,17350697.923270088,s2
2033,895149855.635016,35373237.91028513,17686618.955142565,s2
2034,895149855.635016,35373237.91028513,17686618.955142565,s2
2023,0.0,0.0,0.0,s3
2024,51113465.33609872,2066171.885104279,1033085.9425521396,s3
2025,169450974.04536232,6798217.493767853,3399108.7468839264,s3
2026,321325938.914055,12878939.586262152,6439469.793131076,s3
2027,475388769.7012761,19010912.47347065,9505456.236735327,s3
2028,606574688.0300527,24224510.79210293,12112255.396051465,s3
2029,692732693.5315127,27658564.79711217,13829282.398556087,s3
2030,777697779.7329383,31034022.830364835,15517011.415182415,s3
2031,835822080.5958387,33333217.439706177,16666608.719853088,s3
2032,871026493.1457182,34704874.538630664,17352437.269315332,s3
2033,888398424.3017154,35376743.641178206,17688371.820589103,s3
2034,888398424.3017154,35376743.641178206,17688371.820589103,s3
2023,0.0,0.0,0.0,s4
2024,63678436.223163664,1396715.7691495095,698357.8845747549,s4
2025,251243452.54374248,6764056.505126227,3382028.2525631133,s4
2026,481245842.2620673,13177648.95788587,6588824.478942935,s4
2027,721875462.2505591,19622113.307701148,9811056.653850574,s4
2028,936664358.7170691,25506015.7650091,12753007.88250455,s4
2029,1059263253.9130363,28443657.4668201,14221828.73341005,s4
2030,1185489882.5481725,31331828.675227538,15665914.337613769,s4
2031,1269653486.709168,33219168.893077463,16609584.446538731,s4
2032,1320600424.3033204,34301117.64648171,17150558.823240854,s4
2033,1349478306.8351705,34844003.95907995,17422001.979539976,s4
2034,1349478306.8351705,34844003.95907995,17422001.979539976,s4
2023,0.0,0.0,0.0,s5
2024,18938751.03140728,369073.33592838,184536.66796419,s5
2025,66020144.36040137,1442724.345135978,721362.172567989,s5
2026,115633535.1658155,2602514.4548955364,1301257.2274477682,s5
2027,163291982.0567261,3693369.492966472,1846684.746483236,s5
2028,204332483.7645352,4676649.45033078,2338324.72516539,s5
2029,229776477.2911931,5271026.04031441,2635513.020157205,s5
2030,255858441.6725877,5836278.280350511,2918139.1401752555,s5
2031,271480487.28362715,6139557.277438103,3069778.638719052,s5
2032,278016862.4573297,6281511.272296594,3140755.636148297,s5
2033,281885394.7117228,6364556.8074532505,3182278.4037266253,s5
2034,281885394.7117228,6364556.8074532505,3182278.4037266253,s5
2023,0.0,0.0,0.0,s6
2024,7293270.321959157,109890.11410431008,54945.05705215504,s6
2025,24837198.98311769,370547.3164565918,185273.6582282959,s6
2026,41519668.55420488,656568.8263820051,328284.41319100256,s6
2027,55773675.03953376,912934.9493254544,456467.4746627272,s6
2028,68057284.92939721,1124853.0222364,562426.5111182,s6
2029,75962206.39443412,1269931.8190098093,634965.9095049046,s6
2030,84950542.34163947,1416706.2568755487,708353.1284377744,s6
2031,91024639.46164992,1513250.1742106334,756625.0871053167,s6
2032,93038643.14618926,1553675.684491152,776837.842245576,s6
2033,93939560.49714096,1567444.665897105,783722.3329485523,s6
2034,93939560.49714096,1567444.665897105,783722.3329485523,s6
