,year,emissions_s2h,emissions_h2c,emissions_s2c,emissions_d2h,emissions_total,emissions_per_material,emissions_glass,emissions_gNOX,emissions_gPM2p5,emissions_gPM10
0,2023,0.0,0.0,0.0,0.0,0.0,{},{},0.0,0.0,0.0
1,2024,801.2375405352938,350.936778128504,402.7473504266905,147.23336232207873,1702.155031412567,"{'concrete_in-situ': 317.72206323959153, 'gravel_sand': 85.02528718709873, 'timber': 118.10549354749608, 'steel': 44.02237865825197, 'modules': 1137.279808780128}",{},7293270.321959157,54945.05705215504,109890.11410431008
2,2025,2841.5657010598293,994.8140382704404,1468.2768114101264,543.389199081874,5848.0457498222695,"{'concrete_in-situ': 1205.2644460282454, 'gravel_sand': 263.01236538188095, 'timber': 391.4590824726143, 'steel': 203.6789989009133, 'modules': 3784.6308570386145}",{},24837198.98311769,185273.6582282959,370547.3164565918
3,2026,4500.032224515832,1438.467916719307,2802.5472452507074,871.0175137995603,9612.064900285408,"{'concrete_in-situ': 2300.154884093571, 'gravel_sand': 502.3923611571331, 'timber': 674.2498009713551, 'steel': 290.7537513741733, 'modules': 5844.51410268917}",{},41519668.55420488,328284.41319100256,656568.8263820051
4,2027,5526.91527786435,1748.8816139800638,4219.390260080635,1273.6616875040334,12768.848839429082,"{'concrete_in-situ': 3495.023477851173, 'gravel_sand': 724.366782229454, 'timber': 961.7331120891976, 'steel': 447.2965973555434, 'modules': 7140.428869903705}",{},55773675.03953376,456467.4746627272,912934.9493254544
5,2028,6425.018013726412,2033.3865665165224,5465.2789693781615,1609.2031920792776,15532.886741700377,"{'concrete_in-situ': 4561.429036222588, 'gravel_sand': 903.8499331555632, 'timber': 1231.3080695639064, 'steel': 544.1928760080949, 'modules': 8292.106826750207}",{},68057284.92939721,562426.5111182,1124853.0222364
6,2029,7057.161398257752,2202.649017682632,6238.058610197958,1771.8553488045372,17269.724374942878,"{'concrete_in-situ': 5199.0780590859895, 'gravel_sand': 1038.9805511119614, 'timber': 1383.3793421089622, 'steel': 573.6624119736382, 'modules': 9074.624010662319}",{},75962206.39443412,634965.9095049046,1269931.8190098093
7,2030,7856.719195521483,2456.936637295982,7019.765494039611,1994.5069807541597,19327.928307611237,"{'concrete_in-situ': 5868.089509410427, 'gravel_sand': 1151.6759846291802, 'timber': 1536.0042496565698, 'steel': 666.349083054662, 'modules': 10105.8094808604}",{},84950542.34163947,708353.1284377744,1416706.2568755487
8,2031,8347.764145241576,2671.907484876704,7548.30150026995,2157.2419194281583,20725.215049816383,"{'concrete_in-situ': 6321.643376317813, 'gravel_sand': 1226.6581239521354, 'timber': 1644.7509435173895, 'steel': 735.1952249634811, 'modules': 10796.967381065584}",{},91024639.46164992,756625.0871053167,1513250.1742106334
9,2032,8347.764145241576,2677.727605305632,7875.880212498036,2248.014714402095,21149.38667744734,"{'concrete_in-situ': 6609.641906862393, 'gravel_sand': 1266.2383056356416, 'timber': 1693.1334334227913, 'steel': 786.0668246229457, 'modules': 10794.306206903584}",{},93038643.14618926,776837.842245576,1553675.684491152
10,2033,8347.764145241576,2684.566245168561,8053.437379648467,2272.084637941229,21357.852407999835,"{'concrete_in-situ': 6777.408462921317, 'gravel_sand': 1276.0289167271485, 'timber': 1717.5348217073897, 'steel': 792.5739997404103, 'modules': 10794.306206903584}",{},93939560.49714096,783722.3329485523,1567444.665897105
11,2034,8347.764145241576,2684.566245168561,8053.437379648467,2272.084637941229,21357.852407999835,"{'concrete_in-situ': 6777.408462921317, 'gravel_sand': 1276.0289167271485, 'timber': 1717.5348217073897, 'steel': 792.5739997404103, 'modules': 10794.306206903584}",{},93939560.49714096,783722.3329485523,1567444.665897105
